Category: All categories,
,
Week,COVID-19 vaccine: (United States)
26-01-2020,1
02-02-2020,0
09-02-2020,0
16-02-2020,0
23-02-2020,2
01-03-2020,2
08-03-2020,4
15-03-2020,6
22-03-2020,3
29-03-2020,4
05-04-2020,3
12-04-2020,3
19-04-2020,3
26-04-2020,3
03-05-2020,3
10-05-2020,3
17-05-2020,3
24-05-2020,2
31-05-2020,2
07-06-2020,2
14-06-2020,2
21-06-2020,3
28-06-2020,3
05-07-2020,3
12-07-2020,5
19-07-2020,4
26-07-2020,4
02-08-2020,3
09-08-2020,4
16-08-2020,3
23-08-2020,3
30-08-2020,4
06-09-2020,3
13-09-2020,3
20-09-2020,3
27-09-2020,2
04-10-2020,2
11-10-2020,3
18-10-2020,3
25-10-2020,3
01-11-2020,2
08-11-2020,8
15-11-2020,8
22-11-2020,8
29-11-2020,11
06-12-2020,20
13-12-2020,30
20-12-2020,22
27-12-2020,29
03-01-2021,38
10-01-2021,69
17-01-2021,65
24-01-2021,68
31-01-2021,65
07-02-2021,68
14-02-2021,58
21-02-2021,65
28-02-2021,87
07-03-2021,100
14-03-2021,88
21-03-2021,84
28-03-2021,87
04-04-2021,81
11-04-2021,54
18-04-2021,42
